ID,SCG Bibtex,Paper Year,Type,Type,# Pages,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelfth Author,# Authors,1,2,3,4,5,6,7,8,9,10,Year,Venue,Description,Location,Date
1,Saja03a,2003,Paper,Design Study,11,Program animation based on the roles of variables,"Sajaniemi, J.","Kuittinen, M.",,,,,,,,,,,2,3,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
2,Elmq03a,2003,Paper,Technique,11,Growing squares: animated visualization of causal relations,"Elmqvist, N.","Tsigas, P.",,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
3,Marc03a,2003,Paper,Technique,11,3D representations for software visualization,"Marcus, A.","Feng, L.","Maletic, J.I.",,,,,,,,,,3,6,2,8,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
4,Wang03a,2003,Paper,Design Study,11,EVolve: an open extensible software visualization framework,"Wang, Q.","Wang, W.","Brown, R.","Driesen, K.","Dufour, B.","Hendren, L.","Verbrugge, C.",,,,,,7,1,1,1,1,1,1,1,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
5,Lint03a,2003,Paper,Commentary,11,Plugging-in visualization: experiences integrating a visualization tool with Eclipse,"Lintern, R.","Michaud, J.","Storey, M.-A.D.","Wu, X.",,,,,,,,,4,3,2,5,3,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
6,Reis03a,2003,Paper,Design Study,10,Visualizing Java in action,"Reiss, S.P.",,,,,,,,,,,,1,8,0,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
7,Orso03a,2003,Paper,Design Study,11,Visualization of program-execution data for deployed software,"Orso, A.","Jones, J.","Harrold, M.J.",,,,,,,,,,3,1,1,2,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
8,Coll03a,2003,Paper,Design Study,11,A system for graph-based visualization of the evolution of software,"Collberg, C.","Kobourov, S.","Nagra, J.","Pitts, J.","Wampler, K.",,,,,,,,5,1,1,1,1,1,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
9,Griss03a,2003,Paper,Commentary,8,Algorithm visualization in CS education: comparing levels of student engagement,"Grissom, S.","McNally, M.F.","Naps, T.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
10,Hubs03a,2003,Paper,Commentary,10,Dancing hamsters and marble statues: characterizing student visualizations of algorithms,"Hübscher-Younger, T.","Narayanan, N.H.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
11,Tudo03a,2003,Paper,Formalism,11,Designing effective program visualization tools for reducing user's cognitive effort,"Tudoreanu, M.E.",,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
12,Jaco03a,2003,Paper,Technique,8,Interactive visual debugging with UML,"Jacobs, T.","Musial, B.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
13,Ruth03a,2003,Paper,Evaluation,10,End-user software visualizations for fault localization,"Ruthruff, J.","Creswick, E.","Burnett, M.","Cook, C.","Prabhakararao, S.","Fisher,II, M.","Main, M.",,,,,,7,1,1,2,1,1,1,1,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
14,Mu03a,2003,Paper,Design Study,10,Interactive locality optimization on NUMA architectures,"Mu, T.","Tao, J.","Schulz, M.","McKee, S.A.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
15,Zhou03a,2003,Paper,Design Study,7,Graph visualization for the analysis of the structure and dynamics of extreme-scale supercomputers,"Zhou, C.","Summers, S.L.","Caudell, T.P.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
16,Gasn03a,2003,Paper,Technique,8,Visualizing software for telecommunication services,"Gansner, E.R.","Mocenigo, M.M.","North, S.C.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
17,Eich03a,2003,Paper,Formalism,10,Nice class diagrams admit good design?,"Eichelberger, H.",,,,,,,,,,,,1,6,0,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
18,Haus03a,2003,Paper,Formalism,10,Visualizing model mappings in UML,"Hausmann, J.H.","Kent, S.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
19,Gutw03a,2003,Paper,Formalism,10,A new approach for visualizing UML class diagrams,"Gutwenger, C.","Jünger, M.","Klein, K.","Kupke, J.","Leipert, S.","Mutzel, P.",,,,,,,6,1,1,1,1,1,1,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003 "
20,Eigl03a,2003,Paper,Technique,11, A topology-shape-metrics approach for the automatic layout of UML class diagrams,"Eiglsperger, M.","Kaufmann, M.","Siebenhaller, M.",,,,,,,,,,3,1,4,3,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003 "
21,Balo05a,2005,Paper,Formalism,10,Algorithm visualization using concept keyboards,"Baloian, N.","Breuer, H.","Luther, W.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
22,Joha05a,2005,Paper,Formalism,10,Algorithm animation using shape analysis: visualising abstract executions,"Johannes, D.","Seidel, R.","Wilhelm, R.",,,,,,,,,,3,1,2,2,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
23,Ghon05a,2005,Paper,Commentary,10,Peeking in solver strategies using explanations visualization of dynamic graphs for constraint programming,"Ghoniem, M.","Cambazard, H.","Fekete, J.-D.","Jussien, N.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
24,Burc05a,2005,Paper,Design Study,10,Visual data mining in software archives,"Burch, M.","Diehl, S.","Weissgerber, P.",,,,,,,,,,3,3,8,2,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
25,Voin05a,2005,Paper,Design Study,11,CVSscan: visualization of code evolution,"Voinea, L.","Telea, A.","van Wijk, J.J.",,,,,,,,,,3,9,15,4,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
26,Orei05a,2005,Paper,Design Study,10,The war room command console: shared visualizations for inclusive team coordination,"O'Reilly, C.","Bustard, D.","Morrow, P.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
27,Pinz05a,2005,Paper,System,9,Visualizing multiple evolution metrics,"Pinzger, M.","Gall, H.","Fischer, M.","Lanza, M.",,,,,,,,,4,3,3,1,18,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
28,Khol05a,2005,Paper,Formalism,9,Visual specification and analysis of use cases,"Kholkar, D.","Krishna, K.M.","Shrotri, U.","Venkatesh, R.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
29,Berg05a,2005,Paper,Formalism,8,Towards modeling context-sensitive interactive applications: the context-sensitive user interface profile (CUP),"Van den Bergh, J.","Coninx, K.",,,,,,,,,,,4,1,1,0,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
30,Gest05a,2005,Paper,Design Study,10,Methodology and architecture of JIVE,"Gestwicki, P.","Jayaraman, B.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
31,Mall05a,2005,Paper,Formalism,10,Exploiting UML dynamic object modeling for the visualization of C++ programs,"Malloy, B.A.","Power, P.F.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
32,Reis05a,2005,Paper,Design Study,11,Jove: java as it happens,"Reiss, S.P.","Renieris, M.",,,,,,,,,,,2,8,1,0,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
33,Bloc05a,2005,Paper,Design Study,11,Visualizing structural properties of irregular parallel computations,"Blochinger, W.","Kaufmann, M.","Siebenhaller, M.",,,,,,,,,,3,1,4,3,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
34,Cox05a,2005,Paper,Formalism,10,Adding parallelism to visual data flow programs,"Cox, P.","Gauvin, S.","Rau-Chaplin, A.",,,,,,,,,,3,1,2,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
35,Fris05a,2005,Paper,Design Study,11,Visualization of mobile object environments,"Frishman, Y.","Tal, A.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
36,Noac05a,2005,Paper,Formalism,11,A space of layout styles for hierarchical graph models of software systems,"Noack, A.","Lewerentz, C.",,,,,,,,,,,2,1,4,0,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
37,Balz05a,2005,Paper,Formalism,9,Voronoi treemaps for the visualization of software metrics,"Balzer, M.","Deussen, O.","Lewerentz, C.",,,,,,,,,,3,1,2,4,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
38,Pana05a,2005,Paper,System,10,Online-configuration of software visualizations with Vizz3D,"Panas, T.","Lincke, R.","Löwe, W.",,,,,,,,,,3,2,1,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
39,Deli05a,2005,Paper,Design Study,10,Towards understanding programs through wear-based filtering,"DeLine, R.","Khella, A.","Czerwinski, M.","Robertson, G.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005 "
40,Stor05a,2005,Paper,Formalism,11,On the use of visualization to support awareness of human activities in software development: a survey and a framework,"Storey, M.-A.D.","_ubrani_, D.","German, D.M.",,,,,,,,,,3,5,1,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005 "
41,Wend06a,2006,Paper,System,9,The Clack graphical router: visualizing network software,"Wendlandt, D.","Casado, M.","Tarjan, P.","McKeown, N.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
42,Blum06a,2006,Paper,Formalism,10,Narrative algorithm visualization,"Blumenkrants, M.","Starovisky, H.","Shamir, A.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
43,Jain06a,2006,Paper,Design Study,10,Experimental evaluation of animated-verifying object viewers for Java,"Jain, J.","Cross,II, C.H.","Hendrix, T.D.","Barowski, L.A.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
44,Pauw06a,2006,Paper,Design Study,9,Execution patterns for visualizing web services,"de Pauw, W.","Krasikov, S.","Morar, J.F.",,,,,,,,,,3,4,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
45,Gree06a,2006,Paper,Design Study,10,Visualizing live software systems in 3D,"Greevy, O.","Lanza, M.","Wysseier, C.",,,,,,,,,,3,4,18,2,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
46,Deme06a,2006,Paper,System,10,A data-driven graphical toolkit for software visualization,"Demetrescu, C.","Finocchi, I.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
47,Gauv06a,2006,Paper,Technique,9,"Transparency, holophrasting, and automatic layout applied to control structures for visual dataflow programming languages","Gauvin, S.","Banyasad, O.",,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
48,Kara06a,2006,Paper,Taxonomy,9,Taxonomy of algorithm animation languages,"Karavirta, V.","Korhonen, A.","Malmi, L.",,,,,,,,,,3,1,1,3,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
49,Alsp06a,2006,Paper,System,8,Using social agents to visualize software scenarios,"Alspaugh, T.A.","Tomlinson, B.","Baumer, E.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
50,Bohn06a,2006,Paper,Design Study,10,Visual exploration of function call graphs for feature location in complex software systems,"Bohnet, J.","Döllner, J.",,,,,,,,,,,2,6,9,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
51,Byel06a,2006,Paper,Technique,10,Visualization of areas of interest in software architecture diagrams,"Byelas, H.","Telea, A.",,,,,,,,,,,2,2,15,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
52,Voin06b,2006,Paper,Design Study,10,Multiscale and multivariate visualizations of software evolution,"Voinea, L.","Telea, A.",,,,,,,,,,,2,9,15,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
53,Reis06a,2006,Paper,Formalism,10,Visualizing program execution using user abstractions,"Reiss, S.P.",,,,,,,,,,,,1,8,0,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
54,Meye06a,2006,Paper,Technique,10,Mondrian: an agile information visualization framework,"Meyer, M.","Gîrba, T.","Lungu, M.",,,,,,,,,,3,1,5,4,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
55,Fron06a,2006,Challenge,N/A,2,3D visualisation of code structures in Java software systems,"Fronk, A.","Bruckhoff, A.","Kern, M.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
56,Voin06a,2006,Challenge,N/A,2,How do changes in buggy Mozilla files propagate?,"Voinea, L.","Telea, A.",,,,,,,,,,,2,9,15,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
57,Hosk06a,2006,Poster,N/A,2,A tool for visualizing schemas for semistructured data,"Hosking, J.","Khoussainova, N.","Dobbie, G.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
58,Tani06a,2006,Poster,N/A,2,A transparent interface to state-space search programs,"Tanimoto, S.L.","Levialdi, S.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
59,Balo06a,2006,Poster,N/A,2,A visualization software for the network simplex algorithm,"Baloukas, T.","Paparrizos, K.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
60,Hund06a,2006,Poster,N/A,2,Adding procedures and pointers to the ALVIS algorithm visualization software: a preliminary design,"Hundhausen, C.D.","Brown, B.L.","Farley, S.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
61,Liu06a,2006,Poster,N/A,2,Animation of control flow for low-level debugging,"Liu, H.","Vainstein, F.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
62,Sieb06a,2006,Poster,N/A,2,Drawing activity diagrams,"Siebenhaller, M.","Kaufmann, M.",,,,,,,,,,,2,3,4,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
63,Ansl06a,2006,Poster,N/A,2,Evaluating X3D for use in software visualization,"Anslow, C.","Marshall, S.","Noble, J.","Biddle, R.",,,,,,,,,4,8,6,8,4,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
64,Wolf06a,2006,Poster,N/A,2,Evolutionary layout of UML class diagrams,"Wolff v. Gudenberg, J.","Niederle, A.","Ebner, M.","Eichelberger, H.",,,,,,,,,5,3,1,1,6,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
65,Juck06b,2006,Poster,N/A,2,Evolutionary layout: preserving the mental map during the development of class models,"Jucknath-John, S.","Graf, D.","Taentzer, G.",,,,,,,,,,3,2,2,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
66,Juck06a,2006,Poster,N/A,2,Icon graphs: visualizing the evolution of large class models,"Jucknath-John, S.","Graf, D.",,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
67,Paze06a,2006,Poster,N/A,2,Intentional MPI programming in a visual development environment,"Pazel, D.P.","Tibbitts, T.R.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
68,Parn06a,2006,Poster,N/A,2,Lightweight visualizations for inspecting code smells,"Parnin, C.","Görg, C.",,,,,,,,,,,2,4,5,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
69,Saja06a,2006,Poster,N/A,2,Metaphor-based animation of OO programs,"Sajaniemi, J.","Byckling, P.","Gerdt, P.",,,,,,,,,,3,3,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
70,Kerr06a,2006,Poster,N/A,2,Novel algorithm explanation techniques for improving algorithm teaching,"Kerren, A.","Müldner, T.","Shakshuki, E.",,,,,,,,,,3,3,1,1,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
71,Piet06a,2006,Poster,N/A,2,Semantic web data visualization with graph style sheets,"Pietriga, E.",,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
72,Lung06a,2006,Poster,N/A,2,Softwarenaut: cutting edge visualization,"Lungu, M.","Lanza, M.",,,,,,,,,,,2,4,18,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
73,Reed06a,2006,Poster,N/A,2,The effect of comparison cueing and exchange motion on comprehension of program visualizations,"Reed, B.","Rhodes, P.","Kraemer, E.","Davis, E.T.","Hailston, K.",,,,,,,,5,2,2,3,1,1,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
74,Rhod06a,2006,Poster,N/A,2,The importance of interactive questioning techniques in the comprehension of algorithm animations,"Rhodes, P.","Kraemer, E.","Reed, B.",,,,,,,,,,3,2,3,2,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
75,Kahn06a,2006,Poster,N/A,2,Time travelling animated program executions,"Kahn, K.",,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
76,Knod06a,2006,Poster,N/A,2,Towards empirically validated software architecture visualization,"Knodel, J.","Muthig, D.","Naab, M.","Zeckzer, D.",,,,,,,,,4,1,1,1,6,0,0,0,0,0,0,2006,SOFTVIS,ACM symposium on Software visualization,"Brighton, UK",
